,0,1
Poland,Poland,3
Portugal,Portugal,3
Puerto Rico,Puerto Rico,1
Qatar,Qatar,0
Reunion,Reunion,1
Romania,Romania,3
Russia,Russia,0
Rwanda,Rwanda,3
Saint Barthélemy,Saint Barthélemy,1
Saint Kitts And Nevis,Saint Kitts And Nevis,1
Saint Lucia,Saint Lucia,1
Saint Martin,Saint Martin,1
Saint Pierre And Miquelon,Saint Pierre And Miquelon,0
Saint Vincent And The Grenadines,Saint Vincent And The Grenadines,1
Samoa,Samoa,1
San Marino,San Marino,3
Sao Tome And Principe,Sao Tome And Principe,0
Saudi Arabia,Saudi Arabia,0
Senegal,Senegal,3
Serbia,Serbia,3
Seychelles,Seychelles,3
Sierra Leone,Sierra Leone,1
Singapore,Singapore,1
Sint Maarten,Sint Maarten,1
Slovakia,Slovakia,3
Slovenia,Slovenia,3
Solomon Islands,Solomon Islands,0
Somalia,Somalia,3
South Africa,South Africa,1
South America,South America,1
South Georgia And The South Sandwich Isla,South Georgia And The South Sandwich Isla,1
South Korea,South Korea,3
Spain,Spain,3
Sri Lanka,Sri Lanka,3
Sudan,Sudan,1
Suriname,Suriname,1
Svalbard And Jan Mayen,Svalbard And Jan Mayen,5
Swaziland,Swaziland,1
Sweden,Sweden,5
Switzerland,Switzerland,3
Syria,Syria,0
Taiwan,Taiwan,1
Tajikistan,Tajikistan,4
Tanzania,Tanzania,3
Thailand,Thailand,1
Timor Leste,Timor Leste,1
Togo,Togo,0
Tonga,Tonga,1
Trinidad And Tobago,Trinidad And Tobago,1
Tunisia,Tunisia,1
Turkey,Turkey,0
Turkmenistan,Turkmenistan,4
Turks And Caicas Islands,Turks And Caicas Islands,3
Uganda,Uganda,3
Ukraine,Ukraine,3
United Arab Emirates,United Arab Emirates,0
United Kingdom,United Kingdom,3
United Kingdom (Europe),United Kingdom (Europe),3
United States,United States,1
Uruguay,Uruguay,3
Uzbekistan,Uzbekistan,4
Venezuela,Venezuela,1
Vietnam,Vietnam,1
Virgin Islands,Virgin Islands,1
Western Sahara,Western Sahara,3
Yemen,Yemen,1
Zambia,Zambia,1
Zimbabwe,Zimbabwe,1
Åland,Åland,5
